UT,TC_2020,PY,sample_size,RV
WOS:000262614100033,21,2009,11,NA
WOS:000263232800003,80,2009,15,NA
WOS:000266927400013,10,2009,23,NA
WOS:000273844100008,204,2010,24,NA
WOS:000274810100027,53,2010,26,NA
WOS:000277548600001,29,2010,20,NA
WOS:000277645000005,84,2010,48,NA
WOS:000279899100026,38,2010,87,NA
WOS:000282216800002,66,2010,25,NA
WOS:000282874800005,48,2010,40,NA
WOS:000285486000087,29,2011,17,NA
WOS:000290649300060,42,2011,22,NA
WOS:000291543100006,35,2011,108,NA
WOS:000294408600032,18,2011,15,NA
WOS:000294940500018,44,2011,22,NA
WOS:000295805500035,57,2011,40,NA
WOS:000296729400001,47,2011,18,NA
WOS:000296850700018,63,2011,18,NA
WOS:000300388900001,17,2012,11,NA
WOS:000303094100014,6,2012,20,NA
WOS:000303971400017,59,2012,12,NA
WOS:000304539700005,26,2012,20,NA
WOS:000306971900001,72,2012,20,NA
WOS:000310600500063,84,2012,28,NA
WOS:000314627800002,28,2013,37,NA
WOS:000315580100004,26,2013,31,NA
WOS:000315970300009,60,2013,68,NA
WOS:000316255600001,37,2013,17,NA
WOS:000320313000001,5,2013,18,NA
WOS:000320693800002,5,2013,19,NA
WOS:000322355800024,14,2013,30,NA
WOS:000323029500001,15,2013,49,NA
WOS:000324642700009,2,2013,23,NA
WOS:000326008600028,28,2013,19,NA
WOS:000332052000001,14,2014,24,NA
WOS:000334332200034,13,2014,11,NA
WOS:000335563600005,12,2014,32,NA
WOS:000336191200006,9,2014,12,NA
WOS:000339567000012,22,2014,25,NA
WOS:000342542100005,2,2014,14,NA
WOS:000345734500032,26,2014,18,NA
WOS:000347215600010,10,2014,20,NA
WOS:000348378800011,31,2015,16,NA
WOS:000348637800001,8,2015,24,NA
WOS:000348904800005,11,2014,40,NA
WOS:000349510400003,8,2015,77,NA
WOS:000351162400011,3,2015,15,NA
WOS:000358574300001,8,2015,17,NA
WOS:000359801200001,5,2015,18,NA
WOS:000360548700005,3,2015,20,NA
WOS:000361171200007,55,2015,28,NA
WOS:000361182400007,21,2015,21,NA
WOS:000361320700001,1,2015,19,NA
WOS:000363125200020,10,2015,20,NA
WOS:000366646700043,7,2016,20,NA
WOS:000370371700001,0,2016,30,NA
WOS:000370623400003,10,2016,60,NA
WOS:000371405400001,13,2016,35,NA
WOS:000371523600019,27,2016,18,NA
WOS:000377048600037,19,2016,561,NA
WOS:000377048600037,19,2016,114,NA
WOS:000381369500024,7,2016,63,NA
WOS:000383864500004,18,2016,19,NA
WOS:000405425000004,11,2017,42,NA
WOS:000407014700018,28,2017,192,NA
WOS:000407538700017,1,2017,20,NA
WOS:000408538100020,4,2017,17,NA
WOS:000412179200009,3,2017,54,NA
WOS:000412553900014,7,2017,26,NA
WOS:000413800100011,3,2017,22,NA
WOS:000413907000067,9,2017,30,NA
WOS:000429278800001,9,2018,74,NA
WOS:000429700300010,3,2018,40,NA
WOS:000431182600008,1,2018,53,NA
WOS:000443352400006,0,2018,1,NA
WOS:000443791400007,9,2018,34,NA
