"factor","n rating","median rating","n rank","median rank"
"effect predicted or exploratory",9,88,10,7
"statistical errors",9,86,10,9.5
"sample size",11,84,10,4
"replication result",10,84,10,4
"open data available",9,83,10,8
"strongly connected to theory",10,81,10,4.5
"statistical power",10,78.5,10,5.5
"replication close or not",10,78,10,NA
"preregistered",11,77,10,9.5
"condition assignment",11,75,10,13
"replication independent or not",10,74.5,10,NA
"within or between design",9,71,10,13
"effect size",9,67,10,5
"cluster p-value",9,60,10,13
"effect unexpected",9,59,10,10
"cluster extent",10,51,10,12
"participants excluded",10,45,10,15
"cluster peak Z-value",9,37,10,11.5
"participant sampling",10,24,10,15.5
"main effect or interaction",9,17,10,12.5
